Type,ENFJ,ENFP,ENTJ,ENTP,ESFJ,ESFP,ESTJ,ESTP,INFJ,INFP,INTJ,INTP,ISFJ,ISFP,ISTJ,ISTP
ENFJ,0.86,0.91,0.42,0.73,0.64,0.80,0.22,0.41,0.74,0.73,0.16,0.35,0.30,0.40,0.18,0.09
ENFP,0.91,0.97,0.37,0.85,0.42,0.93,0.27,0.76,0.51,0.73,0.13,0.36,0.11,0.49,0.04,0.14
ENTJ,0.42,0.37,0.91,0.81,0.53,0.51,0.87,0.74,0.25,0.13,0.46,0.47,0.29,0.06,0.66,0.41
ENTP,0.73,0.85,0.81,0.94,0.32,0.87,0.70,0.92,0.11,0.35,0.22,0.51,0.05,0.14,0.11,0.35
ESFJ,0.64,0.42,0.53,0.32,0.94,0.40,0.77,0.37,0.74,0.17,0.32,0.05,0.79,0.57,0.71,0.19
ESFP,0.80,0.93,0.51,0.87,0.40,0.70,0.39,0.75,0.43,0.58,0.22,0.39,0.12,0.58,0.08,0.26
ESTJ,0.22,0.27,0.87,0.70,0.77,0.39,0.96,0.78,0.14,0.03,0.33,0.22,0.48,0.22,0.79,0.55
ESTP,0.41,0.76,0.74,0.92,0.37,0.75,0.78,0.95,0.05,0.24,0.17,0.39,0.12,0.43,0.20,0.62
INFJ,0.74,0.51,0.25,0.11,0.74,0.43,0.14,0.05,0.95,0.85,0.65,0.50,0.85,0.58,0.53,0.23
INFP,0.73,0.73,0.13,0.35,0.17,0.58,0.03,0.24,0.85,0.97,0.70,0.84,0.46,0.78,0.21,0.49
INTJ,0.16,0.13,0.46,0.22,0.32,0.22,0.33,0.17,0.65,0.70,0.86,0.89,0.79,0.45,0.85,0.78
INTP,0.35,0.36,0.47,0.51,0.05,0.39,0.22,0.39,0.50,0.84,0.89,0.96,0.38,0.43,0.51,0.81
ISFJ,0.30,0.11,0.29,0.05,0.79,0.12,0.48,0.12,0.85,0.46,0.79,0.38,0.95,0.76,0.93,0.62
ISFP,0.40,0.49,0.06,0.14,0.57,0.58,0.22,0.43,0.58,0.78,0.45,0.43,0.76,0.97,0.47,0.76
ISTJ,0.18,0.04,0.66,0.11,0.71,0.08,0.79,0.20,0.53,0.21,0.85,0.51,0.93,0.47,0.96,0.78
ISTP,0.09,0.14,0.41,0.35,0.19,0.26,0.55,0.62,0.23,0.49,0.78,0.81,0.62,0.76,0.78,0.96
